magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/um,price,nutri-score,Valeur énergétique en kJ,Valeur énergétique en kCal,Matières grasses,Dont acides gras saturés,Dont acides gras mono-insaturés,Glucides,Dont sucres,Protéines,Fibres alimentaires,Sel,Sodium
107,2338746,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
107,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,7.18,3.59,,,,,,,,,,,,
107,960493,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme granny bio barquette 4 fruits,8.73,3.49,,,,,,,,,,,,
107,2360265,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron primofiori bio filet 1kg,4.99,4.99,,,,,,,,,,,,
107,1371457,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme Canada bio 4 fruits,3.99,3.99,,,,,,,,,,,,
107,2548326,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme cripps pink lady bio barquette 4 fruits,6.65,3.99,,,,,,,,,,,,
107,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,4.29,4.29,,,,,,,,,,,,
107,2337957,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.32,2.49,,,,,,,,,,,,
107,3076368,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI VERT BIO BARQUETTE 4 FRUITS,16.3,4.89,,,,,,,,,,,,
107,3062316,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio barquette 6 fruits,3.99,3.99,,,,,,,,,,,,
107,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
107,2430630,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal Saveurs ail blanc bio 3 têtes,32.6,4.89,,,,,,,,,,,,
107,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,3.78,1.89,,,,,,,,,,,,
107,1035874,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave cuite bio rouge sachet 225g,7.07,1.59,,,,,,,,,,,,
107,2448810,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon rouge bio 500g,5.58,2.79,,,,,,,,,,,,
107,90620,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal saveur échalote traditionnel bio filet 250g,10.76,2.69,,,,,,,,,,,,
107,2784231,Fruits et légumes,Fruits et légumes bio,Légumes bio,CAROTTE BIO SACHET 1.5 KG,3.06,4.59,,,,,,,,,,,,
107,2450727,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon jaune bio filet 1kg,3.99,3.99,,,,,,,,,,,,
107,90631,Fruits et légumes,Fruits et légumes bio,Légumes bio,Royal Saveurs oignon jaune bio 500 g,4.58,2.29,,,,,,,,,,,,
107,1022743,Fruits et légumes,Fruits et légumes bio,Légumes bio,Mais bio doux barquette 2 épis,9.73,3.89,,,,,,,,,,,,
107,1367353,Fruits et légumes,Fruits et légumes bio,Légumes bio,Poivron bio bicolore 2 fruits,8.3,2.49,,,,,,,,,,,,
107,45785,Fruits et légumes,Fruits frais,Fruits de saison,Banane Cavendish,1.99,0.36,,,,,,,,,,,,
107,18003,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster cora 2kg,2.0,3.99,,,,,,,,,,,,
107,15866,Fruits et légumes,Fruits frais,Fruits de saison,Cora orange à jus 2kg,1.8,3.59,,,,,,,,,,,,
107,15890,Fruits et légumes,Fruits frais,Fruits de saison,Cora Kido petits agrumes 1kg,3.99,3.99,,,,,,,,,,,,
107,15892,Fruits et légumes,Fruits frais,Fruits de saison,"Cora pomme golden AOP limousin en panier de bois 1,5 kg",2.66,3.99,,,,,,,,,,,,
107,23568,Fruits et légumes,Fruits frais,Fruits de saison,Cora pomme golden du Limousin face rosée barquette de 4 fruits,3.69,3.69,,,,,,,,,,,,
107,302698,Fruits et légumes,Fruits frais,Fruits de saison,Cora dégustation kiwi barquette de 4 fruits,3.99,3.99,,,,,,,,,,,,
107,2600880,Fruits et légumes,Fruits frais,Fruits de saison,Poire Conférence,4.79,0.89,,,,,,,,,,,,
107,49361,Fruits et légumes,Fruits frais,Fruits de saison,Pomme golden le kilo,3.69,0.74,,,,,,,,,,,,
107,25981,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi vert vrac,0.5,0.5,,,,,,,,,,,,
107,301759,Fruits et légumes,Fruits frais,Fruits de saison,Citron vert VRAC,4.99,0.46,,,,,,,,,,,,
107,68309,Fruits et légumes,Fruits frais,Fruits de saison,Kiwi gold,0.99,0.99,,,,,,,,,,,,
107,49291,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala,2.69,0.52,,,,,,,,,,,,
107,49293,Fruits et légumes,Fruits frais,Fruits de saison,Pomme pink lady,4.29,0.89,,,,,,,,,,,,
107,1127341,Fruits et légumes,Fruits frais,Fruits de saison,Clementine fine de Corse,5.99,5.99,,,,,,,,,,,,
107,50014,Fruits et légumes,Fruits frais,Fruits de saison,Poire Rochas,4.29,0.66,,,,,,,,,,,,
107,25982,Fruits et légumes,Fruits frais,Fruits de saison,Pomelos,0.99,0.99,,,,,,,,,,,,
107,1139038,Fruits et légumes,Fruits frais,Fruits de saison,Citron jaune filet 500g,3.38,1.69,,,,,,,,,,,,
107,49298,Fruits et légumes,Fruits frais,Fruits de saison,Pomme honey crunch,3.69,0.58,,,,,,,,,,,,
107,548401,Fruits et légumes,Fruits frais,Fruits de saison,Mandarine Clémenvilla,2.99,0.33,,,,,,,,,,,,
107,102092,Fruits et légumes,Fruits frais,Fruits de saison,Pomme granny,2.99,0.63,,,,,,,,,,,,
107,944929,Fruits et légumes,Fruits frais,Fruits de saison,Orange à déguster,2.99,0.89,,,,,,,,,,,,
107,982534,Fruits et légumes,Fruits frais,Fruits de saison,Pomme bio barquette 4 fruits,7.18,3.59,,,,,,,,,,,,
107,49297,Fruits et légumes,Fruits frais,Fruits de saison,Pomme canada grise,3.49,0.67,,,,,,,,,,,,
107,1349011,Fruits et légumes,Fruits frais,Fruits de saison,Pomme Royal Gala sachet 1.5kg,2.66,3.99,,,,,,,,,,,,
107,77497,Fruits et légumes,Fruits frais,Fruits de saison,Pomme reine des reinettes,3.89,0.65,,,,,,,,,,,,
